ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO MERCANTIL;Carabobo;POS;LAN;Inactivo;1
BANCO PROVINCIAL;Distrito Capital;CAJA REGIST.;LAN;Inactivo;3
BANCO MERCANTIL;Cojedes;CAJA REGIST.;LAN;Inactivo;1
BANCO PROVINCIAL;Miranda;POS;LAN;Inactivo;4
BANCO PROVINCIAL;Anzoategui;CAJA REGIST.;LAN;Inactivo;8
BANCO PROVINCIAL;Tachira;POS;LAN;Inactivo;3
BANCO MERCANTIL;Tachira;POS;Inalambrico;Inactivo;3
BANCO MERCANTIL;Portuguesa;POS;LAN;Inactivo;1
BANCO MERCANTIL;Bolivar;POS;DialUp;Activo;825
BANCO PROVINCIAL;Aragua;POS;DialUp;Activo;1325
BANCO MERCANTIL;Aragua;POS;DialUp;Activo;1132
BANCO PROVINCIAL;Apure;POS;DialUp;Activo;274
BANCO PROVINCIAL;Amazonas;POS;DialUp;Activo;52
BANCO MERCANTIL;Cojedes;POS;DialUp;Activo;142
BANCO MERCANTIL;Zulia;POS;DialUp;Inactivo;27
BANCO MERCANTIL;Tachira;POS;DialUp;Activo;563
BANCO MERCANTIL;Yaracuy;POS;DialUp;Activo;62
BANCO MERCANTIL;Aragua;POS;DialUp;Inactivo;6
BANCO PROVINCIAL;Guarico;POS;DialUp;Inactivo;12
BANCO PROVINCIAL;Delta Amacuro;POS;DialUp;Activo;27
BANCO MERCANTIL;Aragua;CAJA REGIST.;TCP-IP;Activo;18
BANCO MERCANTIL;Aragua;POS;LAN;Activo;613
BANCO MERCANTIL;Monagas;POS;LAN;Activo;251
BANCO PROVINCIAL;Carabobo;POS;LAN;Activo;596
BANCO MERCANTIL;Aragua;CAJA REGIST.;LAN;Activo;851
BANCO PROVINCIAL;Bolivar;CAJA REGIST.;LAN;Activo;423
BANCO MERCANTIL;Lara;CAJA REGIST.;LAN;Activo;556
BANCO MERCANTIL;Sucre;CAJA REGIST.;LAN;Activo;75
BANCO MERCANTIL;Trujillo;CAJA REGIST.;LAN;Activo;36
